,Date,ID,URL,Username,Source,Location,text,Num_Of_Likes,Num_Of_Retwwet
866,2022-12-05 07:21:43+00:00,1.59967E+18,https://twitter.com/ZXVintage40/status/1599665304258449408,ZXVintage40,ZXVintage80 Poster,,"Computer &amp; Video Games (Jan 1983) - Meteor Storm, Planetoids, Games 2, Games 4, Games 1 and Meteoroids reviews. Also Print Shop, Airline, Spectrek, Fruita, Galleons, Auto Chef and more #zxspectrum #retrogaming

READ: https://t.co/sPwLzkyqNs https://t.co/x4QbnCww92",0,0
867,2022-12-05 06:40:14+00:00,1.59965E+18,https://twitter.com/flightwit/status/1599654863801143299,flightwit,SocialOomph,800 332-7359 • Get free app at,Read this review of the great free SOAR Fear of Flying App https://t.co/o7Phxk1SlV #RT #allTech #travel #airlines https://t.co/ehMYy3yqws,0,0
868,2022-12-05 00:20:02+00:00,1.59956E+18,https://twitter.com/flightwit/status/1599559185930280961,flightwit,SocialOomph,800 332-7359 • Get free app at,Read this review of the great free SOAR Fear of Flying App https://t.co/o7Phxk1SlV RT #allTech travel airlines https://t.co/ehMYy3yqws,0,0
869,2022-12-04 15:45:45+00:00,1.59943E+18,https://twitter.com/SuryaCEG/status/1599429760639455232,SuryaCEG,Twitter for Android,Tamil country,@kannandeepan @IndiGo6E Haha 😂 I'm loving these airline company reviews.,1,0
870,2022-12-04 15:28:20+00:00,1.59943E+18,https://twitter.com/OfficeIsmail/status/1599425378807783424,OfficeIsmail,Twitter for Android,"Indore, India",@airvistara 34 Pax reached airport before Departure is not sufficient for the Airline Staff? Airlines closed Counter except 34 Pax Is Loss of Pax Not Airlines you should review my request and consider my Appeal for Refund.,0,0
871,2022-12-04 15:00:48+00:00,1.59942E+18,https://twitter.com/TravelAuntie/status/1599418447561007109,TravelAuntie,Twitter for iPhone,,"@AlyssaLJepsen @chicochica2005 @AlbaMayo yes for most airlines, it should count as a personal item and fit under the seat! 

on the Amazon reviews someone took a pic and showed that it fit.

(I’m still considering getting the one from Sam’s though bc ",0,0
872,2022-12-04 08:59:36+00:00,1.59933E+18,https://twitter.com/myluvisjjk/status/1599327549808865280,myluvisjjk,Twitter for iPhone,my room,i hate looking at airline &amp; airport reviews (mainly just to get an idea of what i’m about to get into so i can be prepared) and they be making it sound so horrible AND it’s like you can never win bc people have something to say about every airline so i just get anxiety every time,0,0
873,2022-12-04 08:40:12+00:00,1.59932E+18,https://twitter.com/flightwit/status/1599322668490162176,flightwit,SocialOomph,800 332-7359 • Get free app at,Why Is It Amazon Editors' Favorite Book? Read the reviews https://t.co/rNzhVQWhXD #IARTG #travel #airlines https://t.co/ULoEwUmr0u,0,0
874,2022-12-04 06:35:04+00:00,1.59929E+18,https://twitter.com/Karthik_Murali/status/1599291174581567488,Karthik_Murali,Twitter for Android,"Chennai, India","Started a YouTube channel 3 yrs back. Got 20 subscribers in these 3 years. Posted one @YouTube shorts video of my Srilankan Airlines Business Class review. Result : 
1 Million Views and 4000 subscribers in a week 😁🙄❤️
@YouTubeCreators

https://t.co/T2Rs1GycBu",2,0
875,2022-12-04 02:28:04+00:00,1.59923E+18,https://twitter.com/proskipbinbris/status/1599229018766807041,proskipbinbris,Fan Page App,"Brisbane, Queensland","Review: Flying JSX ‘Semi-Private’ Dallas Love Field To Austin
I spent Tuesday evening and Wednesday with Southwest Airlines for their Media Day. It was held at their corporate campus by Dallas Love Field.... https://t.co/JvFNQdu9tP https://t.co/i2tF6XXboy",1,0
